iter	Passed	Remaining
0	6233	6227227
1	9265	4623293
2	12215	4059462
3	15112	3763077
4	19450	3870706
5	22521	3731127
6	24203	3433404
77	53031	657593588	57660	6349050
9	62094	6147366
10	65138	5856512
11	72876	6000163
12	76017	5771505
13	80556	5673503
14	86541	5682915
15	91338	5617289
16	95742	5536157
17	100934	5506521
18	105583	5451424
19	110434	5411294
20	116341	5423739
21	122231	5433739
22	126680	5381157
23	133983	5448660
24	138412	5398102
25	141497	5300716
26	146152	5266907
27	149200	5179402
28	153814	5150118
29	158656	5129880
30	163715	5117441
31	169848	5137911
32	174691	5118997
33	176423	5012512
34	181394	5001296
35	187114	5010522
36	190210	4950608
37	195042	4937667
38	201446	4963855
39	206063	4945530
40	211811	4954329
41	217821	4968399
42	222178	4944758
43	227232	4937138
44	232003	4923619
45	238122	4938463
46	242775	4922662
47	245889	4876809
48	248984	4832327
49	256172	4867280
50	262526	4885047
51	265437	4839125
52	268484	4797264
53	275146	4820162
54	278088	4778068
55	283034	4771161
56	290874	4812194
57	292453	4749842
58	299309	4773739
59	306193	4797033
60	313558	4826738
61	316521	4788656
62	321650	4783919
63	326932	4781395
64	331334	4766126
65	335550	4748552
66	338517	4713981
67	342557	4695047
68	345222	4658006
69	349676	4645706
70	353722	4628283
71	357779	4611378
72	361907	4595733
73	365585	4574753
74	367284	4529841
75	371582	4517660
76	379266	4546275
77	385292	4554359
78	390273	4549898
79	394530	4537095
80	399069	4527714
81	405139	4535584
82	408344	4511466
83	414366	4518568
84	417579	4495121
85	422036	4485368
86	425052	4460611
87	428301	4438756
9	266715	2696785
90	269382	2690868
91	272134	2685845
92	275062	2682595
93	277946	2678927
94	280446	2671619
95	282057	2656040
96	284988	2653038
97	286569	2637609
98	289307	2632990
99	293188	2638695
100	294551	2621799
101	298681	2629564
102	301706	2627483
103	305910	2635536
104	307351	2619802
105	310168	2615949
106	314072	2621180
107	317980	2626281
108	319349	2610461
109	323671	2618796
110	326248	2612924
111	328917	2607847
112	331646	2603278
113	335377	2606527
114	340471	2620147
115	340741	2596682
116	343805	2594704
117	345183	2580103
118	349472	2587273
119	352722	2586632
120	354290	2573733
121	358922	2583066
122	361717	2579073
123	363201	2565844
124	367822	2574754
125	369325	2561831
126	372121	2557970
127	376753	2566633
128	378296	2554235
129	383226	2564672
130	386102	2561247
131	389295	2559910
132	390972	2548671
133	393902	2545670
134	398090	2550725
135	399664	2539045
136	402792	2537298
137	404539	2526903
138	407374	2523374
5	2593066
139	421465	2589002
140	424428	2585703
141	426029	2574176
142	428775	2569653
1	2712682
143	456995	2716584
144	453805	2675890
145	455265	2662993
6	146	452128	2623147	147	453758	2612175
9096
149	456717	2588063
	2394146
151	427327	2384040
152	429040	2375144
153	43067153	453897	24934815154	455148	2481296
55	453491	2453507
4539	2459176
2444891
157	456835	2434526
7	234780159	436604	2292173
452809	2359672
627
161	456156	2359626
62	162	453566	232904164	457284	2314137
330223
089	2277724165	457506	2298557
452914167	45314168	455756	2241026
43169	457279	2232597
0
6246
138
46375	2164008
171	450911	2170666
1	439473	2115605
172	441128	2108748
173	444465	2109932
174	447563	2109943
175	450820	2110661
0496	2080381
178	452179	2073964
